domain,company,keyword,sector,description,score,riskLevel
841932-sasktels.com,SaskTel,sasktel,telecom,"Phishing site impersonating SaskTel",25,LOW
alectra.online,Alectra Utilities,alectra,energy,"Phishing site impersonating Alectra Utilities",20,LOW
bchydro-lajoie-interactive.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",45,MEDIUM
bchydro.online,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",20,LOW
bchydro-payment.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",35,LOW
bchydro.services,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",0,LOW
bellacasarenovations-handymanservices.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
bellaire-houstontreeservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bell-alerts.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-autoservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-david-and-wrc-official-earn-platform-by-google-adsense.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bell.digital,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
belle-france-automobile-tours.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
belleville-il-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
bellevueroofgutterpressurecleaningservice.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bellevue-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
belle-web.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bellezas-de-jalisco.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
bell-gardens-ca-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
bell-ias.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bellingham-real-estate-online.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bellingham-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
bell-invoice-portal.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",35,LOW
bell-mobile.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bell-mobile.live,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-mobilesupport.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-online.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-overpayment.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",55,MEDIUM
bell-pottingerdigital.london,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bell-reset.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",35,LOW
bell-service.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell.services,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell.support,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-support.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-support.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bell-update.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",35,LOW
cashbackdatamobile-freedom.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",20,LOW
cogeco-account.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",35,LOW
cogecomoldremediationeuless.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",30,LOW
cogeco-myaccount.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",35,LOW
cogeco.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",20,LOW
cogeco-online.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",10,LOW
cogeco-secure.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",35,LOW
cogeco-servicepro.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",10,LOW
cogeco.services,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",0,LOW
cogeco.support,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",0,LOW
cogeco-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",10,LOW
cogeco-tech-support.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",10,LOW
eastlink-billingca.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink-billings.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink-eusers.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink-notice.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",20,LOW
eastlink-service.org,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink.services,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",0,LOW
eastlink.support,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",0,LOW
eastlink-support.cc,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink-tech-support.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink-users.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink-users.online,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",30,LOW
eastlink-web.com,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",10,LOW
eastlink.website,Eastlink,eastlink,telecom,"Phishing site impersonating Eastlink",0,LOW
e-docs-bellaterracenursing.tk,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,MEDIUM
eeyou-services.com,Eeyou Communications,eeyou,telecom,"Phishing site impersonating Eeyou Communications",10,LOW
epcor-account.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR",35,LOW
epcor-billing.com,EPCOR,epcor,energy,"Phishing site impersonating EPCOR",10,LOW
execulink.online,Execulink Telecom,execulink,telecom,"Phishing site impersonating Execulink Telecom",20,LOW
fido-2billingservice.info,Fido,fido,telecom,"Phishing site impersonating Fido",30,LOW
fido-3svbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido",30,LOW
fido611-compte.online,Fido,fido,telecom,"Phishing site impersonating Fido",30,LOW
fido-8dsbilling.info,Fido,fido,telecom,"Phishing site impersonating Fido",30,LOW
fido-accessories.com,Fido,fido,telecom,"Phishing site impersonating Fido",10,LOW
fido-accountbilling.com,Fido,fido,telecom,"Phishing site impersonating Fido",35,LOW
fido-account.com,Fido,fido,telecom,"Phishing site impersonating Fido",35,LOW
fido-account-interact-refund.com,Fido,fido,telecom,"Phishing site impersonating Fido",45,MEDIUM
fido-accountpayment.com,Fido,fido,telecom,"Phishing site impersonating Fido",35,LOW
fido-account-update.com,Fido,fido,telecom,"Phishing site impersonating Fido",35,LOW
fido-alert.com,Fido,fido,telecom,"Phishing site impersonating Fido",10,LOW
