domain,company,keyword,sector,description,score,riskLevel
841932-sasktels.com,SaskTel,sasktel,telecom,"Phishing site impersonating SaskTel",25,low
alectra.online,Alectra Utilities,alectra,energy,"Phishing site impersonating Alectra Utilities",30,low
bchydro-lajoie-interactive.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",20,low
bchydro.online,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",30,low
bchydro-payment.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",10,low
bchydro.services,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",0,low
bellacasarenovations-handymanservices.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",50,medium
bellaire-houstontreeservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,low
bell-alerts.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,low
bell-autoservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,low
bell-david-and-wrc-official-earn-platform-by-google-adsense.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,low
bell.digital,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,low
belle-france-automobile-tours.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,low
belleville-il-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",50,medium
bellevueroofgutterpressurecleaningservice.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,low
bellevue-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",50,medium
belle-web.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,low
bellezas-de-jalisco.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",50,medium
bell-gardens-ca-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",50,medium
bell-ias.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",40,low
