domain,company,keyword,sector,description,score,riskLevel
841932-sasktels.com,SaskTel,sasktel,telecom,"Phishing site impersonating SaskTel",20,LOW
alectra.online,Alectra Utilities,alectra,energy,"Phishing site impersonating Alectra Utilities",20,LOW
bchydro-lajoie-interactive.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",10,LOW
bchydro.online,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",20,LOW
bchydro-payment.com,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",0,LOW
bchydro.services,BC Hydro,bchydro,energy,"Phishing site impersonating BC Hydro",0,LOW
bellacasarenovations-handymanservices.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bellaire-houstontreeservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-alerts.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-autoservice.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-david-and-wrc-official-earn-platform-by-google-adsense.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell.digital,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
belle-france-automobile-tours.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
belleville-il-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bellevueroofgutterpressurecleaningservice.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bellevue-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
belle-web.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bellezas-de-jalisco.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bell-gardens-ca-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bell-ias.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bellingham-real-estate-online.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bellingham-wa-yard-services.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",30,LOW
bell-invoice-portal.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-mobile.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bell-mobile.live,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-mobilesupport.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-online.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-overpayment.info,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bell-pottingerdigital.london,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",10,LOW
bell-reset.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-service.net,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell.services,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell.support,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-support.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",0,LOW
bell-support.online,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
bell-update.com,Bell Canada,bell,telecom,"Phishing site impersonating Bell Canada",20,LOW
cashbackdatamobile-freedom.com,Freedom Mobile,freedom,telecom,"Phishing site impersonating Freedom Mobile",10,LOW
cogeco-account.com,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",20,LOW
cogecomoldremediationeuless.online,Cogeco,cogeco,telecom,"Phishing site impersonating Cogeco",30,LOW
