domain,category,detected_at
etransferdeposit25.com,government,2025-09-02T22:12:14Z
reviewgsthstca.com,government,2025-09-02T22:12:14Z
hstcra.com,government,2025-09-02T22:12:14Z
authhstdeposit.com,government,2025-09-02T22:12:14Z
cra-refund-verify.com,government,2025-09-02T22:12:14Z
cra-gst-verify.com,government,2025-09-02T22:12:14Z
cra-hst-verify.com,government,2025-09-02T22:12:14Z
cra-account-secure.com,government,2025-09-02T22:12:14Z
cra-login-verify.com,government,2025-09-02T22:12:14Z
cra-secure-login.com,government,2025-09-02T22:12:14Z
cra-verify.com,government,2025-09-02T22:12:14Z
cra-secure.com,government,2025-09-02T22:12:14Z
cra-account-update.com,government,2025-09-02T22:12:14Z
cra-mobile-verify.com,government,2025-09-02T22:12:14Z
cra-online-verify.com,government,2025-09-02T22:12:14Z
canpost-orderinfo-help.com,government,2025-09-02T22:12:14Z
canadapost-packagereschedule.com,government,2025-09-02T22:12:14Z
redelivercadpost.com,government,2025-09-02T22:12:14Z
setup-canada6517-post4278-now.com,government,2025-09-02T22:12:14Z
redelivauth.com,government,2025-09-02T22:12:14Z
canadapost-tracking.com,government,2025-09-02T22:12:14Z
canadapost-delivery.com,government,2025-09-02T22:12:14Z
canadapost-package.com,government,2025-09-02T22:12:14Z
canadapost-verify.com,government,2025-09-02T22:12:14Z
canadapost-secure.com,government,2025-09-02T22:12:14Z
canadapost-login.com,government,2025-09-02T22:12:14Z
canadapost-account.com,government,2025-09-02T22:12:14Z
gov-canada-eta.com,government,2025-09-02T22:12:14Z
canada-etavisa.info,government,2025-09-02T22:12:14Z
canada-immigration-verify.com,government,2025-09-02T22:12:14Z
canada-passport-verify.com,government,2025-09-02T22:12:14Z
canada-visa-verify.com,government,2025-09-02T22:12:14Z
canada-eta-verify.com,government,2025-09-02T22:12:14Z
canada-immigration-secure.com,government,2025-09-02T22:12:14Z
canada-passport-secure.com,government,2025-09-02T22:12:14Z
canada-visa-secure.com,government,2025-09-02T22:12:14Z
canada-eta-secure.com,government,2025-09-02T22:12:14Z
ontario-license-verify.com,government,2025-09-02T22:12:14Z
ontario-health-verify.com,government,2025-09-02T22:12:14Z
quebec-services-verify.com,government,2025-09-02T22:12:14Z
alberta-account-verify.com,government,2025-09-02T22:12:14Z
bc-services-verify.com,government,2025-09-02T22:12:14Z
ontario-secure.com,government,2025-09-02T22:12:14Z
quebec-secure.com,government,2025-09-02T22:12:14Z
alberta-secure.com,government,2025-09-02T22:12:14Z
bc-secure.com,government,2025-09-02T22:12:14Z
ontario-verify.com,government,2025-09-02T22:12:14Z
quebec-verify.com,government,2025-09-02T22:12:14Z
alberta-verify.com,government,2025-09-02T22:12:14Z
bc-verify.com,government,2025-09-02T22:12:14Z
servicecanada-verify.com,government,2025-09-02T22:12:14Z
elections-canada-verify.com,government,2025-09-02T22:12:14Z
rcmp-verify.com,government,2025-09-02T22:12:14Z
canada-border-verify.com,government,2025-09-02T22:12:14Z
canada-transport-verify.com,government,2025-09-02T22:12:14Z
servicecanada-secure.com,government,2025-09-02T22:12:14Z
elections-canada-secure.com,government,2025-09-02T22:12:14Z
rcmp-secure.com,government,2025-09-02T22:12:14Z
canada-border-secure.com,government,2025-09-02T22:12:14Z
canada-transport-secure.com,government,2025-09-02T22:12:14Z
servicecanada-login.com,government,2025-09-02T22:12:14Z
elections-canada-login.com,government,2025-09-02T22:12:14Z
rcmp-login.com,government,2025-09-02T22:12:14Z
canada-border-login.com,government,2025-09-02T22:12:14Z
canada-transport-login.com,government,2025-09-02T22:12:14Z
