domain,company,keyword,description,score,riskLevel
10001-interac.com,Interac,interac,"Phishing site impersonating Interac",55,MEDIUM
10001-interac.info,Interac,interac,"Phishing site impersonating Interac",75,HIGH
1111-interac.com,Interac,interac,"Phishing site impersonating Interac",55,MEDIUM
13-interac.com,Interac,interac,"Phishing site impersonating Interac",100,HIGH
1418-interac.com,Interac,interac,"Phishing site impersonating Interac",55,MEDIUM
1-bmo-client-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",40,MEDIUM
1-interacs.shop,Interac,interac,"Phishing site impersonating Interac",100,HIGH
1services-bancaires-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",25,LOW
1xbet-bmo.top,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
1xbet-tdh.top,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
2b-interactive.ca,Interac,interac,"Phishing site impersonating Interac",40,MEDIUM
377381-interac.com,Interac,interac,"Phishing site impersonating Interac",100,HIGH
38912-interac.com,Interac,interac,"Phishing site impersonating Interac",100,HIGH
4031-interac-23.com,Interac,interac,"Phishing site impersonating Interac",100,HIGH
4733-interac.com,Interac,interac,"Phishing site impersonating Interac",55,MEDIUM
5-interac.com,Interac,interac,"Phishing site impersonating Interac",100,HIGH
acces-desjardins.online,Desjardins,desjardins,"Phishing site impersonating Desjardins",35,LOW
accesd-web-desjardins-info.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",25,LOW
access-interac-funds-cad-transf.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
acceuil-client-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",15,LOW
accountupdate-td.eu,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
accweb-desjardins-enligne-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",100,HIGH
accweb-mouv-desjardins.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",100,HIGH
accweb-mouvement-desjardins-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",100,HIGH
accwebmov-desjardins.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",100,HIGH
activate-tdauth1.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
alert-easyweb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",15,LOW
app-online-rbc.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",15,LOW
app-rbconlinehome.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",15,LOW
app-rbconlines.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",15,LOW
app-tdweb.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",100,HIGH
auth-easy-webb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
authencation-td-easyweb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",50,MEDIUM
authenticateform-rbcmobileappssl.info,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",70,HIGH
authentication-scotiaonline.com,Scotiabank,scotia,"Phishing site impersonating Scotiabank",50,MEDIUM
authentication-td.click,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
authentication-td.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",100,HIGH
authentication-td.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
authentication-td-mobile.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",50,MEDIUM
authentication-td-mobile.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",70,HIGH
authentication-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",50,MEDIUM
authentication-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",70,HIGH
authentificationform-scotiamobilewebssl.info,Scotiabank,scotia,"Phishing site impersonating Scotiabank",70,HIGH
authorise-tdevicehelpservice.co.uk,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",50,MEDIUM
auth-royalbank.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",100,HIGH
authscotiaonline-scotiabank.com,Scotiabank,scotia,"Phishing site impersonating Scotiabank",100,HIGH
auth-tdeasywb.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
auth-tdeasywb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
auth-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
auth-td-online.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",40,MEDIUM
auth-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",60,MEDIUM
auth-tdsecure.net,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",100,HIGH
best-tds.online,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
bmo-1authdigital.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",100,HIGH
bmo-1dataverify.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",60,MEDIUM
