domain,company,keyword,description,score,riskLevel
10001-interac.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
10001-interac.info,Interac,interac,"Phishing site impersonating Interac",70,HIGH
1111-interac.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
13-interac.com,Interac,interac,"Phishing site impersonating Interac",35,LOW
1418-interac.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
1-bmo-client-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
1-interacs.shop,Interac,interac,"Phishing site impersonating Interac",55,MEDIUM
1services-bancaires-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",20,LOW
1xbet-bmo.top,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
1xbet-tdh.top,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",30,LOW
2b-interactive.ca,Interac,interac,"Phishing site impersonating Interac",35,LOW
377381-interac.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
38912-interac.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
4031-interac-23.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
4733-interac.com,Interac,interac,"Phishing site impersonating Interac",50,MEDIUM
5-interac.com,Interac,interac,"Phishing site impersonating Interac",35,LOW
acces-desjardins.online,Desjardins,desjardins,"Phishing site impersonating Desjardins",30,LOW
accesd-web-desjardins-info.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,LOW
access-interac-funds-cad-transf.com,Interac,interac,"Phishing site impersonating Interac",45,MEDIUM
acceuil-client-bmo.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
accountupdate-td.eu,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
accweb-desjardins-enligne-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,LOW
accweb-mouv-desjardins.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,LOW
accweb-mouvement-desjardins-securite.com,Desjardins,desjardins,"Phishing site impersonating Desjardins",20,LOW
accwebmov-desjardins.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
activate-tdauth1.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
alert-easyweb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,LOW
app-online-rbc.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",10,LOW
app-rbconlinehome.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",10,LOW
app-rbconlines.com,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",10,LOW
app-tdweb.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",10,LOW
auth-easy-webb-td.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
authencation-td-easyweb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",45,MEDIUM
authenticateform-rbcmobileappssl.info,RBC (Royal Bank of Canada),rbc,"Phishing site impersonating RBC (Royal Bank of Canada)",65,MEDIUM
authentication-scotiaonline.com,Scotiabank,scotia,"Phishing site impersonating Scotiabank",45,MEDIUM
authentication-td.click,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
authentication-td.com,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
authentication-td.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
authentication-td-mobile.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",45,MEDIUM
authentication-td-mobile.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",65,MEDIUM
authentication-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",45,MEDIUM
authentication-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",65,MEDIUM
authentificationform-scotiamobilewebssl.info,Scotiabank,scotia,"Phishing site impersonating Scotiabank",65,MEDIUM
authorise-tdevicehelpservice.co.uk,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",45,MEDIUM
auth-royalbank.com,Unknown Bank,unknown,"Phishing site (bank, unknown target)",35,LOW
authscotiaonline-scotiabank.com,Scotiabank,scotia,"Phishing site impersonating Scotiabank",45,MEDIUM
auth-tdeasywb.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
auth-tdeasywb.org,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
auth-td-online.cyou,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
auth-td-online.link,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
auth-td-online.xyz,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",55,MEDIUM
auth-tdsecure.net,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",35,LOW
best-tds.online,TD (TD Canada Trust),td,"Phishing site impersonating TD (TD Canada Trust)",30,LOW
bmo-1authdigital.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-1dataverify.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo-1loginapp.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-1loginverify-team.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-1onlinebanking.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-1online.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo1-restore.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-1secure.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-1secure.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo-1secure.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo1-secure.site,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-1secureverif-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",45,MEDIUM
bmo1user-verify.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo-1validatelogin.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo1-validate.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-1verifydata.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo1-verifysecure1login.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",65,MEDIUM
bmo-2info.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-2mobileaccess-main.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",20,LOW
bmo2-mobile.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-2mobile-step-online.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",20,LOW
bmo-2secure.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-2verification.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-3mobile.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo937482webmobile-authentification.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",60,MEDIUM
bmo-academy.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-acccount-mobile-web.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",20,LOW
bmo-acces-alert.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-acces-alerts.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access1account.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-access1.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access1.online,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-access-alert.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access-clients.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-accessdigital.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-access-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-access-mobile.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access-myapp.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access-online.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-accessonline.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access-restricted.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access-revoke.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access-secure.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-access-srv.us,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access-suspended.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-access.top,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmoaccess-web.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
bmo-acceuilclient.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-acceuilclient.net,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-account1login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account1secure.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account1web.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account2.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accountalert1.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account-alert.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accountauthentlflcatlon.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",45,MEDIUM
bmo-account-banking.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account-bankings.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account-block1.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accounting.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accountlogin1.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo-account-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accountlogin.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account-mobile-web.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",45,MEDIUM
bmo-account-restricted.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",45,MEDIUM
bmo-accounts.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accountsecure-app.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accountsecurity.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-account-security.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",55,MEDIUM
bmo-accounts-login.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",35,LOW
bmo-accountverlflcatlon.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",45,MEDIUM
bmo-account-web-mobile.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",45,MEDIUM
bmo-acct-alert.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-acct-alerts.com,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",10,LOW
bmo-action-required.info,BMO (Bank of Montreal),bmo,"Phishing site impersonating BMO (Bank of Montreal)",30,LOW
